data_table_dec,index,length,pc_dec
377344,0,40,377344
377344,1,40,377384
377344,2,40,377424
377344,3,40,377464
377344,4,40,377504
377344,5,40,377544
377344,6,40,377584
377344,7,40,377624
377344,8,40,377664
377344,9,40,377704
377344,10,40,377744
377344,11,40,377784
377344,12,40,377824
377344,13,40,377864
377344,14,40,377904
377344,15,40,377944
377344,16,40,377984
377344,17,40,378024
377344,18,40,378064
377344,19,40,378104
377344,20,40,378144
377344,21,40,378184
377344,22,40,378224
377344,23,40,378264
377344,24,40,378304
377344,25,40,378344
377344,26,40,378384
377344,27,40,378424
377344,28,40,378464
377344,29,40,378504
377344,30,40,378544
377344,31,40,378584
377344,32,40,378624
377344,33,40,378664
377344,34,40,378704
377344,35,40,378744
